Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,lyrics,lyrics_found
7 rings,Ariana Grande,"thank u, next",2019,178626,4,0.78,0.321,1,-10.747,0,0.372,0.562,0.0,0.0881,0.315,139.961,50,"Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls and not strings
Write my own checks like I write what I sing, yeah (Yeah)

My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)

Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms

My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin')
The way it shine, I know you've seen it (You've seen it)
I bought a crib just for (Just for) the closet (Closet)
Both his and hers, I want it, I got it, yeah

I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yep)

Yeah, my receipts be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah
Shoot, go from the store to the booth
Make it all back in one loop, gimme the loot
Never mind, I got the juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah

I want it, I got it, I want it, I got it (Oh yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (I see, yep)",True
Break Free,Ariana Grande,My Everything - Deluxe,2014,214840,4,0.686,0.702,7,-5.325,0,0.0455,0.00637,4.46e-05,0.204,0.29,129.948,76,"If you want it, take it
I should've said it before
Tried to hide it, fake it
I can't pretend anymore (Ooh)

I only wanna die alive
Never by the hands of a broken heart (Ooh)
I don't wanna hear you lie tonight
Now that I've become who I really am

This is the part when I say I don't want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more
This is the part when I say I don't want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more

You were better, deeper
I was under your spell, yeah
Like a deadly fever, yeah, babe
On the highway to hell, yeah (Ooh)

I only wanna die alive
Never by the hands of a broken heart (Ooh)
I don't wanna hear you lie tonight
Now that I've become who I really am

This is the part when I say I don't want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more
This is the part when I say I don't want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more

No more, baby
Ooh
Thought of your body, I came alive
It was lethal, it was fatal
In my dreams, it felt so right
But I woke up every time
Ooh, baby

This is the part when I say I don't want ya
I'm stronger than I've been before (Ooh)
This is the part when I break free
'Cause I can't resist it no more
This is (This is) the part when I say I don't want ya
I'm stronger than I've been before
This is the part when I break free
'Cause I can't resist it no more",True
Dangerous Woman,Ariana Grande,Dangerous Woman,2016,235946,3,0.664,0.602,4,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049,70,"Oh, yeah

Don't need permission
Made my decision to test my limits
'Cause it's my business, God as my witness
Start what I finished
Don't need no hold up
Taking control of this kind of moment
I'm locked and loaded
Completely focused, my mind is open

All that you got
Skin to skin, oh my God
Don't you stop, boy

Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout

Nothing to prove and I'm bulletproof and
Know what I'm doing
The way we're movin'
Like introducing us to a new thing
I wanna savor, save it for later
The taste, the flavor, 'cause I'm a taker, 'cause I'm a giver
It's only nature, I live for danger

All that you got
Skin to skin, oh my God
Don't ya stop, boy (Oh, yeah)

Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't
Somethin' 'bout, somethin' 'bout, somethin' 'bout you

All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
(Somethin' 'bout, somethin' 'bout—)
All girls wanna be like that
Bad girls underneath, like that
You know how I'm feeling inside
(Somethin' 'bout, somethin' 'bout—)

Mm-mm
Ooh-ooh

Somethin' 'bout you makes me feel like a dangerous woman
Somethin' 'bout, somethin' 'bout, somethin' 'bout you
Makes me wanna do things that I shouldn't (Yeah)
Somethin' 'bout, somethin' 'bout, somethin' 'bout you (Yeah)

All girls wanna be like that (Mm-mm)
Bad girls underneath like that
You know how I'm feeling inside (You know how I'm feeling inside, baby)
(Somethin' 'bout, somethin' 'bout you)
All girls wanna be like that
Bad girls underneath like that
You know how I'm feeling inside
(Somethin' 'bout, somethin' 'bout—)

Yeah, there's somethin' 'bout you, boy (Ha)
Yeah, there's somethin' 'bout you, boy (Ha-ah-ayy)
Yeah, there's somethin' 'bout you, boy
(Somethin' 'bout, somethin' 'bout, somethin' 'bout you)
Yeah, there's somethin' 'bout you, boy
Yeah, there's somethin' 'bout you, boy
Yeah, there's somethin' 'bout you, boy, oh, yeah
(Somethin' 'bout, somethin' 'bout, somethin' 'bout) You",True
God is a woman,Ariana Grande,Sweetener,2018,197546,4,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,75,"You, you love it how I move you
You love it how I touch you, my one
When all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight, my one
It lingers when we're done
You'll believe God is a woman

I don't wanna waste no time, yeah
You ain't got a one-track mind, yeah
Have it any way you like, yeah
And I can tell that you know I know how I want it
Ain't nobody else can relate
Boy, I like that you ain't afraid
Baby, lay me down and let's pray
I'm tellin' you the way I like it, how I want it

(Yeah) And I can be all the things you told me not to be
(Yeah) When you try to come for me, I keep on flourishing (Yeah)
(Yeah) And he see the universe when I'm the company (Yeah)
It's all in me

You, you love it how I move you
You love it how I touch you, my one
When all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight, my one
It lingers when we're done
You'll believe God is a woman

(Yeah)
I tell you all the things you should know
So, baby, take my hands, save your soul
We can make it last, take it slow, mm
And I can tell that you know I know how I want it, yeah
But you're different from the rest
And, boy, if you confess, you might get blessed (Yeah)
See if you deserve what comes next
I'm tellin' you the way I like it, how I want it (Yeah)

(Yeah) And I can be all the things you told me not to be (Ooh)
(Yeah) When you try to come for me, I keep on flourishing (Yeah)
(Yeah) And he see the universe when I'm the company (Yeah)
It's all in me (Ooh)

You, you love it how I move you (Ooh)
You love it how I touch you, my one
When all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight, my one
It lingers when we're done
You'll believe God is a woman

Yeah, yeah (God is a woman)
Yeah, yeah (God is a woman, yeah)
My one (One)
When all is said and done
You'll believe God is a woman
You'll believe God (God is a woman)
Oh yeah (God is a woman, yeah)
Ooh (One)
It lingers when we're done
You'll believe God is a woman",True
Into You,Ariana Grande,Dangerous Woman,2016,244453,4,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,71,"I'm so into you, I can barely breathe
And all I wanna do is to fall in deep
But close ain't close enough till we cross the line, hey-yeah
So name a game to play, and I'll roll the dice, hey

Oh, baby, look what you started
The temperature's risin' in here
Is this gonna happen?
Been waitin' and waitin' for you to make a move (Ooh)
Before I make a move (Ooh)

So baby, come light me up
And baby, I'll let you on it
A little bit dangerous
But baby, that's how I want it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us
So baby, let's keep it secret
A little bit scandalous
But baby, don't let them see it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you

Ooh, yeah
This could take some time, hey
Made too many mistakes
Better get this right
Right, baby

Oh, baby, look what you started
The temperature's risin' in here
Is this gonna happen?
Been waitin' and waitin' for you to make a move (Ooh)
Before I make a move (Ooh)

So, baby, come light me up
And baby, I'll let you on it
A little bit dangerous
But baby, that's how I want it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you
Got everyone watchin' us
So baby, let's keep it secret (Mm)
A little bit scandalous
But baby, don't let them see it
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you ('Cause I'm so into you)

Tell me what you came here for
'Cause I can't, I can't wait no more
I'm on the edge of no control
And I need, I need you to know, you to know
Oh-woah, yeah

So, baby, come light me up (Light me up)
And baby, I'll let you on it
A little bit dangerous (Little dangerous)
But baby, that's how I want it (How I want it)
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you (No, ayy)
Got everyone watchin' us (Watchin' us)
So baby, let's keep it secret
A little bit scandalous (Scandalous)
But baby, don't let them see it (Yeah)
A little less conversation (Yeah) and a
Little more touch my body
'Cause I'm so into you, into you, into you (Ooh, ooh)

So, come light me up
So, come light me up, my baby
Little dangerous
A little dangerous, my boy (How I want it)
A little less conversation and a
Little more touch my body
'Cause I'm so into you, into you, into you (I'm so into you)",True
no tears left to cry,Ariana Grande,Sweetener,2018,205920,4,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,75,"Right now, I'm in a state of mind
I wanna be in like all the time
Ain't got no tears left to cry
So, I'm pickin' it up, pickin' it up
I'm lovin', I'm livin' (Oh, ayy), I'm pickin' it up
I'm pickin' it up, pickin' it up (Yeah)
I'm lovin', I'm livin', I'm pickin' it up (Oh, yeah)

I'm pickin' it up (Yeah), pickin' it up (Yeah, ayy)
Lovin', I'm livin', so we turnin' up (We turnin' it up)
Yeah, we turnin' it up

Ain't got no tears in my body
I ran out, but, boy, I like it
I like it, I like it
Don't matter how, what, where, who tries it
We out here vibin'
We vibin', we vibin'

Comin' out
Even when it's rainin' down
Can't stop now
Can't stop so shut your mouth
Shut your mouth
And if you don't know, then now you know it, babe
Know it, babe, yeah

Right now, I'm in a state of mind
I wanna be in like all the time
Ain't got no tears left to cry
So, I'm pickin' it up, pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up
Oh, I just want you to come with me (Ooh)
We on another mentality
Ain't got no tears left to cry (To cry)
So, I'm pickin' it up, pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up (Oh)

Pickin' it up (Yeah), pickin' it up (Yeah, ayy)
Lovin', I'm livin', so we turnin' up (We turnin' it up)
Yeah (Yeah), we turnin' it up

They point out the colors in you, I see 'em too
And, boy, I like 'em
I like 'em, I like 'em
We way too fly to partake in all this hate
We out here vibin'
We vibin', we vibin'

Comin' out
Even when it's rainin' down
Can't stop now
Can't stop, so shut your mouth
Shut your mouth
And if you don't know, then now you know it, babe
Know it, babe, yeah

Right now, I'm in a state of mind
I wanna be in like all the time
Ain't got no tears left to cry
So, I'm pickin' it up, pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up
Oh, I just want you to come with me (Ooh)
We on another mentality (Oh)
Ain't got no tears left to cry (To cry)
So, I'm pickin' it up, pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up

Comin' out
Even when it's rainin' down
Can't stop now (Mm-oh)
Shut your mouth
Ain't got no tears left to cry
Oh, yeah, oh, yeah

Oh, I just want you to come with me (Me)
We on another mentality
Ain't got no tears left to cry (Cry)
So, I'm pickin' it up (Yeah), pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up (Pickin' it up)

Pickin' it up (Mm), pickin' it up (Mm)
Lovin', I'm livin', so we turnin' up (Mm-hm)
Yeah, we turnin' it up",True
One Last Time,Ariana Grande,My Everything - Deluxe,2014,197266,4,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.025,82,,False
positions,Ariana Grande,Positions,2020,172324,4,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,79,"Heaven sent you to me
I'm just hopin’ I don't repeat history

Boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (Ah, ah)
Never need no (No), no one else, babe
’Cause I'll be

Switchin' them positions for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin’ I wouldn’t do
That I won't do, switchin’ for you

Perfect, perfect
You're too good to be true (You're too good to be true)
But I get tired of runnin', fuck it
Now, I’m runnin' with you (With you)

Said, boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (Ah, ah)
Never need no (No), no onе else, babe
'Causе I'll be

Switchin' them positions for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do (Nothin')
That I won't do, switchin' for you

This some shit that I usually don't do (Yeah)
But for you, I kinda, kinda want to (Mmm)
'Cause you're down for me and I'm down too (And I'm down too)
Yeah, I'm down too
Switchin' the positions for you
This some shit that I (Yeah) usually don't do (Don't do)
But for you, I kinda, kinda want to (Mmm)
'Cause you're down for me and I'm down too ('Cause you're down for me)

Switchin' them positions for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops (Jumpin', jumpin')
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you (Ooh woah)
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do (I wouldn't do)
That I won't do, switchin' for you

Yeah
Ah, yeah
Ah (Ah), yeah",True
Side To Side,Ariana Grande,Dangerous Woman,2017,226160,4,0.649,0.736,6,-5.84,0,0.23,0.0528,0.0,0.235,0.612,159.182,66,"I've been here all night 
(Ariana)
I've been here all day 
(Nicki Minaj)
And, boy, got me walkin' side to side 
(Let them hoes know)

I'm talkin' to ya
See you standing over there with your body
Feeling like I wanna rock with your body
And we don't gotta think 'bout nothin' ('Bout nothin')
I'm comin' at ya
'Cause I know you got a bad reputation
Doesn't matter, 'cause you give me temptation
And we don't gotta think 'bout nothin' ('Bout nothin')

These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I—

I've been here all night
I've been here all day
And, boy, got me walkin' side to side
I've been here all night
I've been here all day
And, boy, got me walkin' side to side (Side to side)

Been tryna hide it
Baby, what's it gonna hurt if they don't know?
Makin' everybody think that we solo
Just as long as you know you got me (You got me)
And, boy, I got ya
'Cause tonight I'm making deals with the devil
And I know it's gonna get me in trouble
Just as long as you know you got me

These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I—

I've been here all night
I've been here all day
And, boy, got me walkin' side to side (Side to side)
I've been here all night (Been here all night, baby)
I've been here all day (Been here all day, baby, yeah)
And, boy, got me walkin' side to side (Side to side, boy)

Uh, yo
This the new style with the fresh type of flow
Wrist icicle, ride dick bicycle
Come through, yo, get you this type of blow
If you wanna ménage, I got a tricycle
All these bitches' flows is my mini-me
Body smoking, so they call me Young Nicki Chimney
Rappers in they feelings 'cause they feelin' me (Murder)
Uh, I-I give zero fucks and I got zero chill in me
Kissing me, copped the blue box that say Tiffany
Curry with the shot, just tell 'em to call me Stephanie
Gun pop, then I make my gum pop
I'm the queen of rap, young Ariana run pop, uh

These friends keep talkin' way too much (Way too much)
Say I should give him up (Give him up)
Can't hear them, no, 'cause I—

I've been here all night (Been here all night, baby)
I've been here all day (Been here all night, baby, yeah)
And, boy (Boy), got me walkin' side to side (Side to side)
I've been here all night (Been here all night, babe)
I've been here all day (Been here all day, baby, yeah; Ooh, baby)
And, boy (No), got me walkin' side to side (Side to side)
(Yeah, yeah-yeah-yeah)

Uh, yo
This the new style with the fresh type of flow (
Been here all night, baby
)
Wrist icicle, ride dick bicycle (Been here all day, baby; Ayy)
Come through, yo, get you this type of blow (No)
If you want a ménage, I got a tricycle (
Side to side, yeah
)",True
"thank u, next",Ariana Grande,"thank u, next",2019,207320,4,0.72,0.654,1,-5.634,1,0.0647,0.227,0.0,0.101,0.411,106.976,78,,False
